,0.5_AUC,0.5_F1,0.5_MCC,0.5_AUC,0.5_F1,0.5_MCC,custom_AUC,custom_F1,custom_MCC,custom_AUC,custom_F1,custom_MCC,FRS_Threshold,CHEL_Threshold
0_1,0.8050057922302535,0.6882716049382716,0.44227756172582705,0.33387533875338754,0.0,0.0,0.8050057922302535,0.7429378531073446,0.48273008089900615,0.33387533875338754,0.12096774193548386,0.014009761666840998,0.49000000000000005,0.306
0_2,0.784047708397918,0.7036496350364964,0.4275061694598446,0.39034552845528453,0.0,0.0,0.784047708397918,0.699404761904762,0.43394045934078335,0.39034552845528453,0.11271676300578035,-0.05530135398819981,0.502,0.35400000000000004
0_3,0.736420891187652,0.6232114467408586,0.34733659826929125,0.4019647696476965,0.0,0.0,0.736420891187652,0.6714285714285715,0.34696192434028567,0.4019647696476965,0.12640449438202248,0.05913313154343368,0.49000000000000005,0.36
0_4,0.8142652025648974,0.7172619047619048,0.4685077618405435,0.5003048780487804,0.0,-0.009899318950283526,0.8142652025648974,0.7479452054794521,0.4741838163639889,0.5003048780487804,0.13333333333333333,0.0802005375353538,0.49000000000000005,0.35000000000000003
1_0,0.6122705556952477,0.4861111111111111,0.1554777792002143,0.3969171483622351,0.0,0.0,0.6122705556952477,0.63,0.21158877169977924,0.3969171483622351,0.07100591715976332,0.05834703113015783,0.45,0.304
1_2,0.5594669348755342,0.47058823529411764,0.07964463737778797,0.48940269749518306,0.0,-0.01979615922483107,0.5594669348755342,0.5786802030456853,0.10102940456979471,0.48940269749518306,0.062015503875969,-0.00822768080614017,0.458,0.32199999999999995
1_3,0.6387980890118179,0.567741935483871,0.24090990044687685,0.453757225433526,0.0,-0.013958622828317738,0.6387980890118179,0.6010928961748634,0.1974504811905233,0.453757225433526,0.060240963855421686,-0.036591304119512,0.472,0.276
1_4,0.6508674880563239,0.5359477124183006,0.19424584389405847,0.5,0.0,-0.01979615922483107,0.6508674880563239,0.6796116504854369,0.3206970113265269,0.5,0.05555555555555555,-0.02626740306012142,0.45,0.334
2_0,0.7722092722092723,0.697986577181208,0.4808896776448893,0.45688622754491015,0.0,0.0,0.7722092722092723,0.697986577181208,0.4808896776448893,0.45688622754491015,0.09580838323353294,-0.0672508319385721,0.5,0.3
2_1,0.7105672105672106,0.6206896551724138,0.3630725284652345,0.5425149700598803,0.0,-0.018445287572759806,0.7105672105672106,0.5692307692307692,0.35188495723846375,0.5425149700598803,0.11627906976744186,0.034912768957996554,0.514,0.362
2_3,0.7399637399637401,0.6802721088435374,0.45717004555235713,0.4832335329341317,0.0,-0.0321312608338848,0.7399637399637401,0.6857142857142857,0.493254915437603,0.4832335329341317,0.15,0.10235508566649226,0.51,0.358
2_4,0.6816886816886818,0.6081081081081081,0.3293835627209222,0.5173652694610779,0.0,-0.018445287572759806,0.6816886816886818,0.5289256198347108,0.34630634941858845,0.5173652694610779,0.11612903225806452,0.051371093650550245,0.536,0.28
3_0,0.6709764309764309,0.49612403100775193,0.21884470319207258,0.6437710437710438,0.0,0.0,0.6709764309764309,0.6320754716981132,0.22543056810893936,0.6437710437710438,0.14545454545454548,0.09536784757171116,0.442,0.396
3_1,0.7519191919191919,0.5343511450381679,0.26982274613111856,0.5791245791245792,0.0,-0.025184310025465735,0.7519191919191919,0.7040816326530611,0.42475350323823435,0.5791245791245792,0.10526315789473685,0.02863633567120574,0.44000000000000006,0.356
3_2,0.7116498316498318,0.5492957746478873,0.24136919209684776,0.6195286195286195,0.0,0.0,0.7116498316498318,0.49557522123893805,0.32641617381640675,0.6195286195286195,0.13513513513513514,0.08786414876125433,0.524,0.37400000000000005
